municipio,area_km2,populacao,densidade,risco_chuva
Recife,218.435,1.488.920,"6814,88",alto
Olinda,41.681,349.788,"8392,92",alto
Jaboatão dos Guararapes,258.724,643.344,"2.486,70",alto
Paulista,93.518,334.376,"3575,76",médio
Camaragibe,51.257,158.899,"3101,78",médio
São Lourenço da Mata,264.358,115.822,"438,26",médio
Cabo de Santo Agostinho,445.344,207.450,"465,76",médio
Ipojuca,527.635,104.387,"197,84",baixo
Abreu e Lima,126.193,100.346,"795,41",médio
Araçoiaba,96.807,20.733,"214,13",baixo
Itapissuma,74.255,26.900,"362,41",baixo
Itamaracá,65.413,26.672,"407,9",baixo
Moreno,196.997,66.748,"338,86",médio
Igarassu,305.614,123.419,"403,74",médio
